2023-03-11 16:51:33.980620 Epoch [000/025], Step [0120/0505], [lateral-3: 0.9310], [lateral-2: 1.0693], [lateral-1: 1.1423], [edge: 0.7489]
2023-03-11 16:52:25.937692 Epoch [000/025], Step [0180/0505], [lateral-3: 0.8701], [lateral-2: 1.0023], [lateral-1: 1.0845], [edge: 0.7130]
2023-03-11 16:53:17.888965 Epoch [000/025], Step [0240/0505], [lateral-3: 0.8228], [lateral-2: 0.9502], [lateral-1: 1.0419], [edge: 0.6752]
2023-03-11 16:54:09.907267 Epoch [000/025], Step [0300/0505], [lateral-3: 0.7942], [lateral-2: 0.9151], [lateral-1: 1.0135], [edge: 0.6444]
2023-03-11 16:55:01.858268 Epoch [000/025], Step [0360/0505], [lateral-3: 0.7662], [lateral-2: 0.8820], [lateral-1: 0.9872], [edge: 0.6199]
2023-03-11 16:55:53.908107 Epoch [000/025], Step [0420/0505], [lateral-3: 0.7410], [lateral-2: 0.8501], [lateral-1: 0.9605], [edge: 0.6006]
2023-03-11 16:56:46.037192 Epoch [000/025], Step [0480/0505], [lateral-3: 0.7214], [lateral-2: 0.8234], [lateral-1: 0.9374], [edge: 0.5862]
2023-03-11 16:57:07.658806 Epoch [000/025], Step [0505/0505], [lateral-3: 0.7155], [lateral-2: 0.8141], [lateral-1: 0.9288], [edge: 0.5818]
2023-03-11 16:58:00.360215 Epoch [001/025], Step [0060/0505], [lateral-3: 0.5180], [lateral-2: 0.5624], [lateral-1: 0.7156], [edge: 0.4413]
2023-03-11 16:58:52.377787 Epoch [001/025], Step [0120/0505], [lateral-3: 0.5096], [lateral-2: 0.5444], [lateral-1: 0.6935], [edge: 0.4360]
2023-03-11 16:59:44.338945 Epoch [001/025], Step [0180/0505], [lateral-3: 0.5072], [lateral-2: 0.5350], [lateral-1: 0.6784], [edge: 0.4377]
2023-03-11 17:00:36.355401 Epoch [001/025], Step [0240/0505], [lateral-3: 0.4989], [lateral-2: 0.5214], [lateral-1: 0.6614], [edge: 0.4334]
2023-03-11 17:01:28.383879 Epoch [001/025], Step [0300/0505], [lateral-3: 0.4987], [lateral-2: 0.5164], [lateral-1: 0.6510], [edge: 0.4332]
2023-03-11 17:02:20.440736 Epoch [001/025], Step [0360/0505], [lateral-3: 0.4967], [lateral-2: 0.5094], [lateral-1: 0.6386], [edge: 0.4298]
2023-03-11 17:03:12.605171 Epoch [001/025], Step [0420/0505], [lateral-3: 0.4984], [lateral-2: 0.5063], [lateral-1: 0.6302], [edge: 0.4282]
2023-03-11 17:04:04.645082 Epoch [001/025], Step [0480/0505], [lateral-3: 0.4973], [lateral-2: 0.5022], [lateral-1: 0.6225], [edge: 0.4271]
2023-03-11 17:04:26.307106 Epoch [001/025], Step [0505/0505], [lateral-3: 0.4981], [lateral-2: 0.5018], [lateral-1: 0.6202], [edge: 0.4276]
2023-03-11 17:05:19.257436 Epoch [002/025], Step [0060/0505], [lateral-3: 0.4511], [lateral-2: 0.4250], [lateral-1: 0.5095], [edge: 0.3833]
2023-03-11 17:06:11.330696 Epoch [002/025], Step [0120/0505], [lateral-3: 0.4431], [lateral-2: 0.4167], [lateral-1: 0.4974], [edge: 0.3838]
2023-03-11 17:07:03.398212 Epoch [002/025], Step [0180/0505], [lateral-3: 0.4339], [lateral-2: 0.4067], [lateral-1: 0.4850], [edge: 0.3815]
2023-03-11 17:07:55.516411 Epoch [002/025], Step [0240/0505], [lateral-3: 0.4259], [lateral-2: 0.3976], [lateral-1: 0.4726], [edge: 0.3803]
2023-03-11 17:08:47.569005 Epoch [002/025], Step [0300/0505], [lateral-3: 0.4293], [lateral-2: 0.3997], [lateral-1: 0.4699], [edge: 0.3805]
2023-03-11 17:09:39.531130 Epoch [002/025], Step [0360/0505], [lateral-3: 0.4303], [lateral-2: 0.4002], [lateral-1: 0.4677], [edge: 0.3819]
2023-03-11 17:10:31.525781 Epoch [002/025], Step [0420/0505], [lateral-3: 0.4313], [lateral-2: 0.4004], [lateral-1: 0.4642], [edge: 0.3825]
2023-03-11 17:11:23.507119 Epoch [002/025], Step [0480/0505], [lateral-3: 0.4322], [lateral-2: 0.4003], [lateral-1: 0.4614], [edge: 0.3829]
2023-03-11 17:11:45.115053 Epoch [002/025], Step [0505/0505], [lateral-3: 0.4322], [lateral-2: 0.4000], [lateral-1: 0.4599], [edge: 0.3826]
2023-03-11 17:12:37.786507 Epoch [003/025], Step [0060/0505], [lateral-3: 0.3915], [lateral-2: 0.3507], [lateral-1: 0.3893], [edge: 0.3569]
2023-03-11 17:13:29.962287 Epoch [003/025], Step [0120/0505], [lateral-3: 0.3912], [lateral-2: 0.3480], [lateral-1: 0.3838], [edge: 0.3539]
2023-03-11 17:14:22.008271 Epoch [003/025], Step [0180/0505], [lateral-3: 0.3821], [lateral-2: 0.3401], [lateral-1: 0.3739], [edge: 0.3511]
2023-03-11 17:15:14.185298 Epoch [003/025], Step [0240/0505], [lateral-3: 0.3829], [lateral-2: 0.3407], [lateral-1: 0.3736], [edge: 0.3511]
2023-03-11 17:16:06.030325 Epoch [003/025], Step [0300/0505], [lateral-3: 0.3841], [lateral-2: 0.3413], [lateral-1: 0.3719], [edge: 0.3510]
2023-03-11 17:16:58.025432 Epoch [003/025], Step [0360/0505], [lateral-3: 0.3843], [lateral-2: 0.3414], [lateral-1: 0.3703], [edge: 0.3519]
2023-03-11 17:17:50.010468 Epoch [003/025], Step [0420/0505], [lateral-3: 0.3857], [lateral-2: 0.3422], [lateral-1: 0.3695], [edge: 0.3511]
2023-03-11 17:18:41.902762 Epoch [003/025], Step [0480/0505], [lateral-3: 0.3864], [lateral-2: 0.3427], [lateral-1: 0.3683], [edge: 0.3510]
